mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.282199764251709,0.016791816872560192,0.036100149154663086,0.003878418578118897,250,2,2,sqrt,15,True,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.819672131147541,0.8032786885245902,0.8166666666666667,0.8833333333333333,0.8166666666666667,0.8279234972677596,0.02828120946499442,8,0.979253112033195,0.9543568464730291,0.9710743801652892,0.9586776859504132,0.9586776859504132,0.964407942114468,0.009289958678121673
0.1681992530822754,0.00457833571709991,0.029600143432617188,0.005791131822627493,150,4,1,log2,25,True,"{'n_estimators': 150, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 25, 'bootstrap': True}",0.7868852459016393,0.8360655737704918,0.8,0.9,0.8166666666666667,0.8279234972677596,0.039627999358837575,8,0.9875518672199171,0.9875518672199171,0.987603305785124,0.9958677685950413,0.9958677685950413,0.990888515483008,0.004065586529140266
0.06089973449707031,0.015505707243192574,0.012900114059448242,0.0020102731686737945,50,10,5,0.3,20,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': False}",0.8032786885245902,0.819672131147541,0.7833333333333333,0.9,0.8333333333333334,0.8279234972677596,0.03971907081718641,8,0.9377593360995851,0.9253112033195021,0.9132231404958677,0.9173553719008265,0.9173553719008265,0.9222008847433216,0.008709734455617015
0.11559996604919434,0.0025957240995988645,0.022900104522705078,0.002634363635527348,150,10,1,sqrt,40,False,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': False}",0.8032786885245902,0.8360655737704918,0.8,0.8666666666666667,0.8333333333333334,0.8278688524590164,0.024428124277068437,14,0.975103734439834,0.966804979253112,0.9793388429752066,0.9710743801652892,0.9628099173553719,0.9710263708377628,0.005849010969626526
0.12180008888244628,0.010698720254901248,0.023400068283081055,0.006688605519492387,100,8,2,0.5,40,True,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 40, 'bootstrap': True}",0.8032786885245902,0.8360655737704918,0.8166666666666667,0.8833333333333333,0.8,0.8278688524590164,0.030496993114555285,14,0.950207468879668,0.9336099585062241,0.9545454545454546,0.9462809917355371,0.9297520661157025,0.9428791879565173,0.009587676348203488
0.34309968948364256,0.02640697306931574,0.033800172805786136,0.004044592114179443,300,4,4,0.3,25,True,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 25, 'bootstrap': True}",0.8360655737704918,0.8032786885245902,0.7833333333333333,0.9,0.8166666666666667,0.8278688524590164,0.03995914483188925,14,0.9045643153526971,0.9128630705394191,0.9049586776859504,0.9008264462809917,0.9090909090909091,0.9064606837899933,0.004135347847937234
0.11139998435974122,0.00481013507920721,0.020499658584594727,0.004837521565252483,100,10,2,sqrt,25,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.8360655737704918,0.8032786885245902,0.8,0.8833333333333333,0.8166666666666667,0.8278688524590164,0.030496993114555285,14,0.9253112033195021,0.9336099585062241,0.9214876033057852,0.9132231404958677,0.9132231404958677,0.9213710092246494,0.007721478263192121
0.14409937858581542,0.0011134251342878668,0.018500423431396483,0.0016733270733104671,150,8,4,0.7,,True,"{'n_estimators': 150, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': None, 'bootstrap': True}",0.8360655737704918,0.819672131147541,0.7833333333333333,0.8833333333333333,0.8166666666666667,0.8278142076502732,0.03261768728533109,18,0.9128630705394191,0.9087136929460581,0.9256198347107438,0.9049586776859504,0.9173553719008265,0.9139021295565997,0.00717236845446231
0.12609992027282715,0.013499306425198528,0.02460055351257324,0.0033823592541015173,150,10,4,0.3,5,False,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 5, 'bootstrap': False}",0.8360655737704918,0.819672131147541,0.7833333333333333,0.8833333333333333,0.8166666666666667,0.8278142076502732,0.03261768728533109,18,0.9087136929460581,0.921161825726141,0.9173553719008265,0.9090909090909091,0.9214876033057852,0.915561880593944,0.005629588483412584
0.19710021018981932,0.005834289810847654,0.040500211715698245,0.010700333417939757,250,2,2,0.3,20,False,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': False}",0.7704918032786885,0.8360655737704918,0.8,0.8833333333333333,0.8333333333333334,0.8246448087431695,0.03792145000064466,20,0.995850622406639,1.0,0.9917355371900827,1.0,0.9917355371900827,0.995864339357361,0.00369598649158592
